hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
117434,175,4,1,30,11,1,0,0,2,2,0,0,0,1,0,0
117444,175,2,1,54,7,1,0,0,2,0,0,0,0,0,1,0
117447,176,7,1,42,0,0,1,0,4,3,0,0,0,0,0,1
117454,175,5,1,54,13,1,0,0,5,0,0,0,0,0,1,0
117456,175,4,0,29,7,0,0,0,2,2,0,0,0,0,1,0
117462,175,4,0,29,0,0,1,0,2,2,0,0,0,1,0,0
117472,175,6,1,48,11,1,0,0,6,0,0,0,1,0,0,0
117498,175,3,1,33,11,1,0,0,2,1,0,0,0,1,0,0
117504,176,6,1,43,10,1,0,0,3,3,0,0,0,0,0,1
117510,176,4,1,50,10,1,0,0,3,1,0,0,0,1,0,0
117521,175,4,1,29,11,1,0,0,4,1,0,0,0,0,0,1
117528,175,7,1,37,8,1,0,0,4,3,0,0,0,0,0,1
117533,175,3,1,22,12,1,0,0,2,1,0,0,0,0,1,0
117535,175,4,1,38,7,0,0,0,2,2,0,0,0,0,1,0
117541,175,8,1,34,8,1,0,0,4,4,0,0,0,0,1,0
117612,143,7,1,75,0,0,1,0,5,2,0,0,0,0,1,0
117624,147,3,1,42,7,1,0,0,2,1,0,0,0,0,0,1
117625,147,2,1,57,10,1,0,0,2,0,0,0,0,0,0,1
117628,146,6,1,42,7,1,0,0,3,3,0,0,0,0,0,1
117634,146,4,1,40,0,0,1,0,2,2,0,0,0,0,0,1
117640,147,3,0,24,7,0,0,0,1,2,0,0,0,0,0,1
117641,147,6,0,50,0,0,1,0,4,2,0,0,0,0,0,1
117656,146,4,1,55,7,0,0,0,4,0,0,0,0,0,0,1
117657,147,1,0,56,7,1,0,0,1,0,0,0,0,0,0,1
117659,146,5,1,55,7,0,0,0,3,2,0,0,0,0,0,1
117667,146,4,1,33,10,1,0,0,2,2,0,0,0,0,0,1
117685,147,5,1,38,8,0,0,0,3,2,0,0,0,0,1,0
117688,147,6,1,56,7,1,0,0,4,2,0,0,0,0,1,0
117701,146,5,0,26,13,1,0,0,2,3,0,0,0,0,0,1
117705,146,2,1,34,10,1,0,0,2,0,0,0,0,0,0,1
117716,179,4,1,49,7,1,0,0,3,1,1,0,0,1,0,0
117723,146,3,1,22,7,1,0,0,2,1,0,0,0,0,0,1
117734,146,4,1,48,7,1,0,0,4,0,0,0,0,0,0,1
117740,157,2,1,63,11,1,0,0,2,0,0,0,0,1,0,0
117751,147,3,1,61,12,1,0,0,3,0,0,0,0,0,1,0
117765,147,4,1,32,7,0,0,0,2,2,0,0,0,0,1,0
117772,146,5,1,59,0,0,1,0,4,1,0,0,0,0,0,1
117787,147,6,1,48,9,1,0,0,4,2,0,0,0,1,0,0
117800,147,5,1,37,7,1,0,0,2,3,0,0,0,0,0,1
117806,175,6,1,62,11,1,0,0,3,3,0,0,0,0,0,1
117823,147,5,0,53,7,0,0,0,3,2,0,0,0,0,1,0
117867,175,2,0,42,0,0,1,0,2,0,0,0,0,0,1,0
117872,146,3,1,45,11,1,0,0,2,1,0,0,0,1,0,0
117874,175,3,1,64,7,1,0,0,3,0,0,0,0,1,0,0
117875,175,7,1,34,8,1,0,0,4,3,0,0,0,1,0,0
117882,147,6,1,36,0,0,1,0,3,3,0,0,0,0,0,1
